,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
12,2021-06-11,21:00,UEFA Euro,Group stage,Fri,Home,W,3,0,tr Türkiye,1.9,0.6,64.0,12916.0,Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,,24.0,8.0,18.4,0,0,2021,Italy
13,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Home,W,3,0,ch Switzerland,2.7,0.2,49.0,12445.0,Giorgio Chiellini,4-3-3,Sergey Karasev,Match Report,,13.0,3.0,17.5,0,0,2021,Italy
14,2021-06-20,18:00,UEFA Euro,Group stage,Sun,Home,W,1,0,wls Wales,2.0,0.4,69.0,11541.0,Leonardo Bonucci,4-3-3,Ovidiu Hațegan,Match Report,,23.0,6.0,17.6,0,0,2021,Italy
15,2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,W,2,1,at Austria,1.9,0.8,51.0,18910.0,Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,Required Extra Time,27.0,6.0,18.8,0,0,2021,Italy
16,2021-07-02,21:00,UEFA Euro,Quarter-finals,Fri,Neutral,W,2,1,be Belgium,1.7,1.8,54.0,12984.0,Giorgio Chiellini,4-3-3,Slavko Vinčič,Match Report,,14.0,3.0,17.2,0,0,2021,Italy
17,2021-07-06,20:00,UEFA Euro,Semi-finals,Tue,Neutral,W,1 (4),1 (2),es Spain,0.8,1.5,31.0,57811.0,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time,7.0,4.0,15.8,0,0,2021,Italy
18,2021-07-11,20:00,UEFA Euro,Final,Sun,Away,W,1 (3),1 (2),eng England,2.2,0.6,65.0,67173.0,Giorgio Chiellini,4-3-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,19.0,6.0,18.9,0,0,2021,Italy
10,2021-06-13,14:00,UEFA Euro,Group stage,Sun,Home,W,1,0,hr Croatia,1.5,0.4,49.0,18497.0,Harry Kane,4-3-3,Daniele Orsato,Match Report,,8.0,2.0,17.0,0,0,2021,England
11,2021-06-18,20:00,UEFA Euro,Group stage,Fri,Home,D,0,0,sct Scotland,1.4,0.6,60.0,20306.0,Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,,9.0,1.0,14.6,0,0,2021,England
12,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Home,W,1,0,cz Czechia,1.5,0.3,56.0,19104.0,Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,,5.0,3.0,14.4,0,0,2021,England
13,2021-06-29,17:00,UEFA Euro,Round of 16,Tue,Home,W,2,0,de Germany,1.3,1.4,46.0,41973.0,Harry Kane,3-4-3,Danny Makkelie,Match Report,,5.0,4.0,13.2,0,0,2021,England
14,2021-07-03,21:00,UEFA Euro,Quarter-finals,Sat,Neutral,W,4,0,ua Ukraine,2.0,0.3,52.0,11880.0,Harry Kane,4-2-3-1,Felix Brych,Match Report,,10.0,6.0,13.4,0,0,2021,England
15,2021-07-07,20:00,UEFA Euro,Semi-finals,Wed,Home,W,2,1,dk Denmark,2.7,0.2,58.0,64950.0,Harry Kane,4-2-3-1,Danny Makkelie,Match Report,Required Extra Time,19.0,9.0,17.0,0,1,2021,England
16,2021-07-11,20:00,UEFA Euro,Final,Sun,Home,L,1 (2),1 (3),it Italy,0.6,2.2,35.0,67173.0,Harry Kane,3-4-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,6.0,2.0,15.7,0,0,2021,England
12,2021-06-14,21:00,UEFA Euro,Group stage,Mon,Home,D,0,0,se Sweden,2.3,1.2,84.0,10559.0,Jordi Alba,4-3-3,Slavko Vinčič,Match Report,,17.0,5.0,17.6,0,0,2021,Spain
13,2021-06-19,21:00,UEFA Euro,Group stage,Sat,Home,D,1,1,pl Poland,2.9,1.3,76.0,11742.0,Jordi Alba,4-3-3,Daniele Orsato,Match Report,,11.0,5.0,17.2,0,1,2021,Spain
14,2021-06-23,18:00,UEFA Euro,Group stage,Wed,Home,W,5,0,sk Slovakia,3.4,0.1,65.0,11204.0,Sergio Busquets,4-3-3,Björn Kuipers,Match Report,,18.0,8.0,14.7,0,1,2021,Spain
15,2021-06-28,18:00,UEFA Euro,Round of 16,Mon,Neutral,W,5,3,hr Croatia,3.6,3.2,66.0,22771.0,Sergio Busquets,4-3-3,Cüneyt Çakιr,Match Report,Required Extra Time,23.0,10.0,15.2,0,0,2021,Spain
16,2021-07-02,19:00,UEFA Euro,Quarter-finals,Fri,Neutral,W,1 (3),1 (1),ch Switzerland,2.9,0.8,72.0,24764.0,Sergio Busquets,4-3-3,Michael Oliver,Match Report,Spain won on penalty kicks following extra time,28.0,10.0,14.7,0,0,2021,Spain
17,2021-07-06,20:00,UEFA Euro,Semi-finals,Tue,Neutral,L,1 (2),1 (4),it Italy,1.5,0.8,69.0,57811.0,Sergio Busquets,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time,16.0,4.0,20.8,0,0,2021,Spain
10,2021-06-12,18:00,UEFA Euro,Group stage,Sat,Home,L,0,1,fi Finland,1.8,0.3,69.0,13790.0,Simon Kjær,4-3-3,Anthony Taylor,Match Report,,21.0,5.0,17.6,0,1,2021,Denmark
11,2021-06-17,18:00,UEFA Euro,Group stage,Thu,Home,L,1,2,be Belgium,1.7,0.9,47.0,23395.0,Simon Kjær,3-4-3,Björn Kuipers,Match Report,,21.0,5.0,17.1,0,0,2021,Denmark
12,2021-06-21,21:00,UEFA Euro,Group stage,Mon,Home,W,4,1,ru Russia,2.1,1.1,64.0,23644.0,Simon Kjær,3-4-3,Clément Turpin,Match Report,,16.0,10.0,17.1,0,0,2021,Denmark
13,2021-06-26,18:00,UEFA Euro,Round of 16,Sat,Neutral,W,4,0,wls Wales,2.7,0.6,53.0,14645.0,Simon Kjær,3-4-3,Daniel Siebert,Match Report,,16.0,8.0,17.0,0,0,2021,Denmark
14,2021-07-03,20:00,UEFA Euro,Quarter-finals,Sat,Neutral,W,2,1,cz Czechia,1.5,1.6,45.0,16306.0,Simon Kjær,3-4-3,Björn Kuipers,Match Report,,11.0,6.0,14.8,0,0,2021,Denmark
15,2021-07-07,20:00,UEFA Euro,Semi-finals,Wed,Away,L,1,2,eng England,0.2,2.7,42.0,64950.0,Simon Kjær,3-4-3,Danny Makkelie,Match Report,Required Extra Time,6.0,3.0,25.5,0,0,2021,Denmark
12,2021-06-12,22:00,UEFA Euro,Group stage,Sat,Away,W,3,0,ru Russia,1.4,0.3,66.0,26264.0,Jan Vertonghen,3-4-3,Antonio Matéu Lahoz,Match Report,,9.0,4.0,17.2,0,0,2021,Belgium
13,2021-06-17,18:00,UEFA Euro,Group stage,Thu,Away,W,2,1,dk Denmark,0.9,1.7,53.0,23395.0,Jan Vertonghen,3-4-3,Björn Kuipers,Match Report,,6.0,4.0,20.3,0,0,2021,Belgium
14,2021-06-21,22:00,UEFA Euro,Group stage,Mon,Neutral,W,2,0,fi Finland,1.6,0.4,61.0,18545.0,Eden Hazard,3-4-3,Felix Brych,Match Report,,17.0,7.0,17.2,0,0,2021,Belgium
15,2021-06-27,21:00,UEFA Euro,Round of 16,Sun,Neutral,W,1,0,pt Portugal,0.2,1.4,43.0,11504.0,Eden Hazard,3-4-3,Felix Brych,Match Report,,6.0,1.0,23.4,0,0,2021,Belgium
16,2021-07-02,21:00,UEFA Euro,Quarter-finals,Fri,Neutral,L,1,2,it Italy,1.8,1.7,46.0,12984.0,Jan Vertonghen,3-4-3,Slavko Vinčič,Match Report,,9.0,2.0,20.0,1,1,2021,Belgium
10,2021-06-14,14:00,UEFA Euro,Group stage,Mon,Away,W,2,0,sct Scotland,1.1,1.9,43.0,9847.0,Vladimír Darida,4-2-3-1,Daniel Siebert,Match Report,,10.0,7.0,20.1,0,0,2021,Czechia
11,2021-06-18,17:00,UEFA Euro,Group stage,Fri,Neutral,D,1,1,hr Croatia,1.6,0.9,51.0,5607.0,Vladimír Darida,4-2-3-1,Carlos del Cerro,Match Report,,10.0,0.0,15.4,1,1,2021,Czechia
12,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Away,L,0,1,eng England,0.3,1.5,44.0,19104.0,Vladimír Darida,4-2-3-1,Artur Soares Dias,Match Report,,7.0,1.0,20.2,0,0,2021,Czechia
13,2021-06-27,18:00,UEFA Euro,Round of 16,Sun,Neutral,W,2,0,nl Netherlands,1.6,0.9,48.0,52834.0,Tomáš Souček,4-1-4-1,Sergey Karasev,Match Report,,12.0,5.0,15.9,0,0,2021,Czechia
14,2021-07-03,20:00,UEFA Euro,Quarter-finals,Sat,Neutral,L,1,2,dk Denmark,1.6,1.5,55.0,16306.0,Tomáš Souček,4-2-3-1,Björn Kuipers,Match Report,,16.0,5.0,16.4,0,0,2021,Czechia
11,2021-06-12,17:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,wls Wales,2.1,0.4,64.0,8782.0,Granit Xhaka,3-4-1-2,Clément Turpin,Match Report,,18.0,4.0,15.6,0,0,2021,Switzerland
12,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Away,L,0,3,it Italy,0.2,2.7,51.0,12445.0,Granit Xhaka,3-4-1-2,Sergey Karasev,Match Report,,6.0,1.0,22.7,0,0,2021,Switzerland
13,2021-06-20,20:00,UEFA Euro,Group stage,Sun,Neutral,W,3,1,tr Türkiye,2.1,1.2,51.0,17138.0,Granit Xhaka,3-4-1-2,Slavko Vinčič,Match Report,,23.0,10.0,19.2,0,0,2021,Switzerland
14,2021-06-28,22:00,UEFA Euro,Round of 16,Mon,Neutral,W,3 (5),3 (4),fr France,1.9,3.4,46.0,22642.0,Granit Xhaka,3-4-1-2,Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,11.0,4.0,19.9,0,1,2021,Switzerland
15,2021-07-02,19:00,UEFA Euro,Quarter-finals,Fri,Neutral,L,1 (1),1 (3),es Spain,0.8,2.9,28.0,24764.0,Xherdan Shaqiri,4-2-3-1,Michael Oliver,Match Report,Spain won on penalty kicks following extra time,8.0,2.0,14.0,0,0,2021,Switzerland
11,2021-06-13,21:00,UEFA Euro,Group stage,Sun,Away,L,2,3,nl Netherlands,0.5,1.5,38.0,15837.0,Andriy Yarmolenko,4-3-3,Felix Brych,Match Report,,7.0,5.0,19.4,0,0,2021,Ukraine
12,2021-06-17,16:00,UEFA Euro,Group stage,Thu,Neutral,W,2,1,mk N. Macedonia,3.4,1.3,52.0,10001.0,Andriy Yarmolenko,4-3-3,Fernando Rapallini,Match Report,,16.0,7.0,16.8,0,1,2021,Ukraine
13,2021-06-21,19:00,UEFA Euro,Group stage,Mon,Neutral,L,0,1,at Austria,0.3,1.6,50.0,10472.0,Andriy Yarmolenko,4-3-3,Cüneyt Çakιr,Match Report,,5.0,1.0,15.0,0,0,2021,Ukraine
14,2021-06-29,20:00,UEFA Euro,Round of 16,Tue,Neutral,W,2,1,se Sweden,1.8,1.2,54.0,9221.0,Andriy Yarmolenko,3-5-2,Daniele Orsato,Match Report,Required Extra Time,15.0,4.0,18.5,0,0,2021,Ukraine
15,2021-07-03,21:00,UEFA Euro,Quarter-finals,Sat,Neutral,L,0,4,eng England,0.3,2.0,48.0,11880.0,Andriy Yarmolenko,3-5-2,Felix Brych,Match Report,,7.0,2.0,24.2,0,0,2021,Ukraine
10,2021-06-13,21:00,UEFA Euro,Group stage,Sun,Home,W,3,2,ua Ukraine,1.5,0.5,62.0,15837.0,Georginio Wijnaldum,3-4-1-2,Felix Brych,Match Report,,15.0,7.0,17.5,0,0,2021,Netherlands
11,2021-06-17,21:00,UEFA Euro,Group stage,Thu,Home,W,2,0,at Austria,3.1,0.7,47.0,15243.0,Georginio Wijnaldum,3-4-1-2,Orel Grinfeeld,Match Report,,13.0,2.0,16.2,1,1,2021,Netherlands
12,2021-06-21,18:00,UEFA Euro,Group stage,Mon,Home,W,3,0,mk N. Macedonia,3.1,1.1,58.0,15227.0,Georginio Wijnaldum,3-4-1-2,István Kovács,Match Report,,17.0,6.0,17.8,0,0,2021,Netherlands
13,2021-06-27,18:00,UEFA Euro,Round of 16,Sun,Neutral,L,0,2,cz Czechia,0.9,1.6,52.0,52834.0,Georginio Wijnaldum,3-4-1-2,Sergey Karasev,Match Report,,6.0,0.0,15.5,0,0,2021,Netherlands
13,2021-06-14,21:00,UEFA Euro,Group stage,Mon,Away,D,0,0,es Spain,1.2,2.3,16.0,10559.0,Sebastian Larsson,4-4-2,Slavko Vinčič,Match Report,,4.0,0.0,15.7,0,0,2021,Sweden
14,2021-06-18,14:00,UEFA Euro,Group stage,Fri,Neutral,W,1,0,sk Slovakia,1.7,0.5,42.0,11525.0,Sebastian Larsson,4-4-2,Daniel Siebert,Match Report,,12.0,3.0,18.7,1,1,2021,Sweden
15,2021-06-23,17:00,UEFA Euro,Group stage,Wed,Neutral,W,3,2,pl Poland,1.1,1.9,34.0,14252.0,Sebastian Larsson,4-4-2,Michael Oliver,Match Report,,11.0,4.0,19.2,0,0,2021,Sweden
16,2021-06-29,20:00,UEFA Euro,Round of 16,Tue,Neutral,L,1,2,ua Ukraine,1.2,1.8,46.0,9221.0,Sebastian Larsson,4-4-2,Daniele Orsato,Match Report,Required Extra Time,13.0,3.0,17.8,0,0,2021,Sweden
12,2021-06-15,21:00,UEFA Euro,Group stage,Tue,Away,W,1,0,de Germany,0.3,0.9,39.0,13000.0,Hugo Lloris,4-3-3,Carlos del Cerro,Match Report,,4.0,1.0,13.0,0,0,2021,France
13,2021-06-19,15:00,UEFA Euro,Group stage,Sat,Away,D,1,1,hu Hungary,2.0,0.4,66.0,55998.0,Hugo Lloris,4-3-3,Michael Oliver,Match Report,,15.0,4.0,17.7,0,0,2021,France
14,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,pt Portugal,1.9,1.9,52.0,54886.0,Hugo Lloris,4-2-3-1,Antonio Matéu Lahoz,Match Report,,10.0,4.0,20.5,1,1,2021,France
15,2021-06-28,22:00,UEFA Euro,Round of 16,Mon,Neutral,L,3 (4),3 (5),ch Switzerland,3.4,1.9,54.0,22642.0,Hugo Lloris,3-5-2,Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,26.0,8.0,18.6,0,0,2021,France
12,2021-06-13,19:00,UEFA Euro,Group stage,Sun,Neutral,W,3,1,mk N. Macedonia,2.0,0.6,62.0,9082.0,David Alaba,3-1-4-2,Andreas Ekberg,Match Report,,10.0,6.0,14.8,0,0,2021,Austria
13,2021-06-17,21:00,UEFA Euro,Group stage,Thu,Away,L,0,2,nl Netherlands,0.7,3.1,53.0,15243.0,David Alaba,3-1-4-2,Orel Grinfeeld,Match Report,,9.0,1.0,17.5,0,0,2021,Austria
14,2021-06-21,19:00,UEFA Euro,Group stage,Mon,Neutral,W,1,0,ua Ukraine,1.6,0.3,50.0,10472.0,David Alaba,4-2-3-1,Cüneyt Çakιr,Match Report,,18.0,4.0,19.1,0,0,2021,Austria
15,2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,L,1,2,it Italy,0.8,1.9,49.0,18910.0,David Alaba,4-2-3-1,Anthony Taylor,Match Report,Required Extra Time,16.0,3.0,20.3,0,0,2021,Austria
10,2021-06-15,18:00,UEFA Euro,Group stage,Tue,Away,W,3,0,hu Hungary,2.5,0.2,69.0,55662.0,Cristiano Ronaldo,4-2-3-1,Cüneyt Çakιr,Match Report,,10.0,6.0,15.2,1,1,2021,Portugal
11,2021-06-19,18:00,UEFA Euro,Group stage,Sat,Away,L,2,4,de Germany,2.0,2.6,43.0,12926.0,Cristiano Ronaldo,4-1-4-1,Anthony Taylor,Match Report,,7.0,2.0,15.8,0,0,2021,Portugal
12,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,fr France,1.9,1.9,48.0,54886.0,Cristiano Ronaldo,4-1-4-1,Antonio Matéu Lahoz,Match Report,,8.0,3.0,24.0,2,2,2021,Portugal
13,2021-06-27,21:00,UEFA Euro,Round of 16,Sun,Neutral,L,0,1,be Belgium,1.4,0.2,57.0,11504.0,Cristiano Ronaldo,4-3-3,Felix Brych,Match Report,,23.0,4.0,21.1,0,0,2021,Portugal
10,2021-06-13,14:00,UEFA Euro,Group stage,Sun,Away,L,0,1,eng England,0.4,1.5,51.0,18497.0,Luka Modrić,4-3-3,Daniele Orsato,Match Report,,8.0,2.0,21.1,0,0,2021,Croatia
11,2021-06-18,17:00,UEFA Euro,Group stage,Fri,Neutral,D,1,1,cz Czechia,0.9,1.6,49.0,5607.0,Luka Modrić,4-2-3-1,Carlos del Cerro,Match Report,,11.0,2.0,20.0,0,0,2021,Croatia
12,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Away,W,3,1,sct Scotland,1.0,1.4,66.0,9896.0,Luka Modrić,4-3-3,Fernando Rapallini,Match Report,,11.0,6.0,19.8,0,0,2021,Croatia
13,2021-06-28,18:00,UEFA Euro,Round of 16,Mon,Neutral,L,3,5,es Spain,3.2,3.6,34.0,22771.0,Luka Modrić,4-3-3,Cüneyt Çakιr,Match Report,Required Extra Time,12.0,6.0,12.6,0,0,2021,Croatia
10,2021-06-15,21:00,UEFA Euro,Group stage,Tue,Home,L,0,1,fr France,0.9,0.3,61.0,13000.0,Manuel Neuer,3-4-3,Carlos del Cerro,Match Report,,10.0,1.0,16.1,0,0,2021,Germany
11,2021-06-19,18:00,UEFA Euro,Group stage,Sat,Home,W,4,2,pt Portugal,2.6,2.0,57.0,12926.0,Manuel Neuer,3-4-3,Anthony Taylor,Match Report,,12.0,7.0,14.5,0,0,2021,Germany
12,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Home,D,2,2,hu Hungary,2.2,0.8,75.0,12413.0,Manuel Neuer,3-4-3,Sergey Karasev,Match Report,,18.0,6.0,12.0,0,0,2021,Germany
13,2021-06-29,17:00,UEFA Euro,Round of 16,Tue,Away,L,0,2,eng England,1.4,1.3,54.0,41973.0,Manuel Neuer,3-4-3,Danny Makkelie,Match Report,,9.0,3.0,18.3,0,0,2021,Germany
11,2021-06-12,17:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,ch Switzerland,0.4,2.1,36.0,8782.0,Gareth Bale,4-1-4-1,Clément Turpin,Match Report,,9.0,2.0,16.5,0,0,2021,Wales
12,2021-06-16,20:00,UEFA Euro,Group stage,Wed,Neutral,W,2,0,tr Türkiye,3.5,1.2,38.0,19762.0,Gareth Bale,4-1-4-1,Artur Soares Dias,Match Report,,15.0,7.0,12.9,0,1,2021,Wales
13,2021-06-20,18:00,UEFA Euro,Group stage,Sun,Away,L,0,1,it Italy,0.4,2.0,31.0,11541.0,Gareth Bale,3-4-3,Ovidiu Hațegan,Match Report,,3.0,1.0,11.1,0,0,2021,Wales
14,2021-06-26,18:00,UEFA Euro,Round of 16,Sat,Away,L,0,4,dk Denmark,0.6,2.7,47.0,14645.0,Gareth Bale,4-2-3-1,Daniel Siebert,Match Report,,11.0,1.0,19.0,0,0,2021,Wales
13,2021-06-12,18:00,UEFA Euro,Group stage,Sat,Away,W,1,0,dk Denmark,0.3,1.8,31.0,13790.0,Tim Sparv,5-3-2,Anthony Taylor,Match Report,,1.0,1.0,8.2,0,0,2021,Finland
14,2021-06-16,16:00,UEFA Euro,Group stage,Wed,Away,L,0,1,ru Russia,0.8,1.0,41.0,24540.0,Paulus Arajuuri,5-3-2,Danny Makkelie,Match Report,,11.0,1.0,16.7,0,0,2021,Finland
15,2021-06-21,22:00,UEFA Euro,Group stage,Mon,Neutral,L,0,2,be Belgium,0.4,1.6,39.0,18545.0,Tim Sparv,5-3-2,Felix Brych,Match Report,,7.0,1.0,20.3,0,0,2021,Finland
12,2021-06-12,22:00,UEFA Euro,Group stage,Sat,Home,L,0,3,be Belgium,0.3,1.4,34.0,26264.0,Artem Dzyuba,4-2-3-1,Antonio Matéu Lahoz,Match Report,,5.0,1.0,20.3,0,0,2021,Russia
13,2021-06-16,16:00,UEFA Euro,Group stage,Wed,Home,W,1,0,fi Finland,1.0,0.8,59.0,24540.0,Artem Dzyuba,3-5-1-1,Danny Makkelie,Match Report,,14.0,3.0,15.0,0,0,2021,Russia
14,2021-06-21,21:00,UEFA Euro,Group stage,Mon,Away,L,1,4,dk Denmark,1.1,2.1,36.0,23644.0,Artem Dzyuba,3-4-3,Clément Turpin,Match Report,,5.0,1.0,22.9,1,1,2021,Russia
12,2021-06-14,17:00,UEFA Euro,Group stage,Mon,Neutral,W,2,1,pl Poland,0.4,1.4,42.0,12862.0,Marek Hamšík,4-2-3-1,Ovidiu Hațegan,Match Report,,11.0,2.0,21.7,0,0,2021,Slovakia
13,2021-06-18,14:00,UEFA Euro,Group stage,Fri,Neutral,L,0,1,se Sweden,0.5,1.7,58.0,11525.0,Marek Hamšík,4-2-3-1,Daniel Siebert,Match Report,,10.0,0.0,17.8,0,0,2021,Slovakia
14,2021-06-23,18:00,UEFA Euro,Group stage,Wed,Away,L,0,5,es Spain,0.1,3.4,35.0,11204.0,Marek Hamšík,4-2-3-1,Björn Kuipers,Match Report,,3.0,0.0,25.1,0,0,2021,Slovakia
12,2021-06-15,18:00,UEFA Euro,Group stage,Tue,Home,L,0,3,pt Portugal,0.2,2.5,31.0,55662.0,Ádám Szalai,3-5-2,Cüneyt Çakιr,Match Report,,5.0,3.0,23.4,0,0,2021,Hungary
13,2021-06-19,15:00,UEFA Euro,Group stage,Sat,Home,D,1,1,fr France,0.4,2.0,34.0,55998.0,Ádám Szalai,3-5-2,Michael Oliver,Match Report,,5.0,3.0,23.9,0,0,2021,Hungary
14,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Away,D,2,2,de Germany,0.8,2.2,25.0,12413.0,Ádám Szalai,5-3-2,Sergey Karasev,Match Report,,9.0,4.0,23.1,0,0,2021,Hungary
12,2021-06-14,17:00,UEFA Euro,Group stage,Mon,Neutral,L,1,2,sk Slovakia,1.4,0.4,58.0,12862.0,Robert Lewandowski,3-1-4-2,Ovidiu Hațegan,Match Report,,17.0,3.0,19.5,0,0,2021,Poland
13,2021-06-19,21:00,UEFA Euro,Group stage,Sat,Away,D,1,1,es Spain,1.3,2.9,24.0,11742.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,5.0,2.0,15.2,0,0,2021,Poland
14,2021-06-23,17:00,UEFA Euro,Group stage,Wed,Neutral,L,2,3,se Sweden,1.9,1.1,66.0,14252.0,Robert Lewandowski,3-4-1-2,Michael Oliver,Match Report,,18.0,6.0,19.3,0,0,2021,Poland
14,2021-06-14,14:00,UEFA Euro,Group stage,Mon,Home,L,0,2,cz Czechia,1.9,1.1,57.0,9847.0,Andrew Robertson,3-5-2,Daniel Siebert,Match Report,,19.0,4.0,15.7,0,0,2021,Scotland
15,2021-06-18,20:00,UEFA Euro,Group stage,Fri,Away,D,0,0,eng England,0.6,1.4,40.0,20306.0,Andrew Robertson,3-4-1-2,Antonio Matéu Lahoz,Match Report,,11.0,1.0,18.2,0,0,2021,Scotland
16,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Home,L,1,3,hr Croatia,1.4,1.0,34.0,9896.0,Andrew Robertson,3-5-2,Fernando Rapallini,Match Report,,11.0,3.0,16.2,0,0,2021,Scotland
14,2021-06-13,19:00,UEFA Euro,Group stage,Sun,Neutral,L,1,3,at Austria,0.6,2.0,38.0,9082.0,Goran Pandev,5-3-2,Andreas Ekberg,Match Report,,7.0,2.0,18.6,0,0,2021,North-Macedonia
15,2021-06-17,16:00,UEFA Euro,Group stage,Thu,Neutral,L,1,2,ua Ukraine,1.3,3.4,48.0,10001.0,Goran Pandev,3-5-2,Fernando Rapallini,Match Report,,12.0,4.0,23.5,0,1,2021,North-Macedonia
16,2021-06-21,18:00,UEFA Euro,Group stage,Mon,Away,L,0,3,nl Netherlands,1.1,3.1,42.0,15227.0,Goran Pandev,4-2-3-1,István Kovács,Match Report,,13.0,1.0,19.2,0,0,2021,North-Macedonia
13,2021-06-11,21:00,UEFA Euro,Group stage,Fri,Away,L,0,3,it Italy,0.6,1.9,36.0,12916.0,Burak Yılmaz,4-1-4-1,Danny Makkelie,Match Report,,3.0,0.0,13.8,0,0,2021,Turkiye
14,2021-06-16,20:00,UEFA Euro,Group stage,Wed,Neutral,L,0,2,wls Wales,1.2,3.5,62.0,19762.0,Burak Yılmaz,4-1-4-1,Artur Soares Dias,Match Report,,18.0,5.0,16.2,0,0,2021,Turkiye
15,2021-06-20,20:00,UEFA Euro,Group stage,Sun,Neutral,L,1,3,ch Switzerland,1.2,2.1,49.0,17138.0,Burak Yılmaz,4-1-4-1,Slavko Vinčič,Match Report,,19.0,6.0,22.0,0,0,2021,Turkiye
13,2016-06-14,21:00,UEFA Euro,Group stage,Tue,Neutral,D,1,1,is Iceland,,,72.0,38742.0,Cristiano Ronaldo,4-1-2-1-2◆,Cüneyt Çakιr,Match Report,,26.0,9.0,,0,0,2016,Portugal
14,2016-06-18,21:00,UEFA Euro,Group stage,Sat,Neutral,D,0,0,at Austria,,,59.0,44291.0,Cristiano Ronaldo,4-4-2,Nicola Rizzoli,Match Report,,23.0,6.0,,0,1,2016,Portugal
15,2016-06-22,18:00,UEFA Euro,Group stage,Wed,Neutral,D,3,3,hu Hungary,,,63.0,55514.0,Cristiano Ronaldo,4-4-2,Martin Atkinson,Match Report,,21.0,6.0,,0,0,2016,Portugal
16,2016-06-25,21:00,UEFA Euro,Round of 16,Sat,Neutral,W,1,0,hr Croatia,,,41.0,33523.0,Cristiano Ronaldo,4-4-2,Carlos Velasco,Match Report,Required Extra Time,6.0,2.0,,0,0,2016,Portugal
17,2016-06-30,21:00,UEFA Euro,Quarter-finals,Thu,Neutral,W,1 (5),1 (3),pl Poland,,,48.0,62940.0,Cristiano Ronaldo,4-1-3-2,Felix Brych,Match Report,Portugal won on penalty kicks following extra time,19.0,5.0,,0,0,2016,Portugal
18,2016-07-06,21:00,UEFA Euro,Semi-finals,Wed,Neutral,W,2,0,wls Wales,,,44.0,55679.0,Cristiano Ronaldo,4-1-2-1-2◆,Jonas Eriksson,Match Report,,18.0,6.0,,0,0,2016,Portugal
19,2016-07-10,21:00,UEFA Euro,Final,Sun,Away,W,1,0,fr France,,,44.0,75868.0,Cristiano Ronaldo,4-1-3-2,Mark Clattenburg,Match Report,Required Extra Time,10.0,3.0,,0,0,2016,Portugal
4,2016-06-10,21:00,UEFA Euro,Group stage,Fri,Home,W,2,1,ro Romania,,,64.0,75113.0,Hugo Lloris,4-3-3,Viktor Kassai,Match Report,,14.0,5.0,,0,0,2016,France
5,2016-06-15,21:00,UEFA Euro,Group stage,Wed,Home,W,2,0,al Albania,,,60.0,63670.0,Hugo Lloris,4-2-3-1,William Collum,Match Report,,22.0,2.0,,0,0,2016,France
6,2016-06-19,21:00,UEFA Euro,Group stage,Sun,Home,D,0,0,ch Switzerland,,,41.0,45616.0,Hugo Lloris,4-3-3,Damir Skomina,Match Report,,14.0,4.0,,0,0,2016,France
7,2016-06-26,15:00,UEFA Euro,Round of 16,Sun,Home,W,2,1,ie Rep. of Ireland,,,67.0,56279.0,Hugo Lloris,4-3-3,Nicola Rizzoli,Match Report,,25.0,11.0,,0,0,2016,France
8,2016-07-03,21:00,UEFA Euro,Quarter-finals,Sun,Home,W,5,2,is Iceland,,,61.0,76833.0,Hugo Lloris,4-2-3-1,Björn Kuipers,Match Report,,15.0,8.0,,0,0,2016,France
9,2016-07-07,21:00,UEFA Euro,Semi-finals,Thu,Home,W,2,0,de Germany,,,32.0,64078.0,Hugo Lloris,4-2-3-1,Nicola Rizzoli,Match Report,,16.0,6.0,,1,1,2016,France
